,age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2
142,0.0,1.0,1.0,0.0,0.6666666666666667,0.0,0.75,0.25,0.25,0.0,0.0,1.0,0.03571428571428571,0.3571428571428571,0.5789473684210527
326,0.33333333333333304,0.75,0.75,0.0,0.0,0.0,0.75,0.5,1.0,0.5,1.0,1.0,0.05357142857142857,0.7142857142857143,0.7894736842105263
88,0.16666666666666652,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.75,0.75,0.25,0.0,0.0,0.5,0.21428571428571427,0.5,0.5263157894736842
118,0.33333333333333304,0.25,0.75,0.6666666666666667,0.3333333333333333,0.3333333333333333,1.0,0.25,0.75,0.0,0.75,1.0,0.3571428571428571,0.3571428571428571,0.3684210526315789
312,0.6666666666666665,0.25,0.5,0.0,0.3333333333333333,0.3333333333333333,0.75,1.0,0.25,0.25,0.25,0.75,0.05357142857142857,0.6428571428571428,0.5789473684210527
249,0.16666666666666652,0.0,0.5,0.0,0.0,0.0,0.75,0.5,0.25,0.25,0.75,1.0,0.0,0.6428571428571428,0.7894736842105263
129,0.16666666666666652,1.0,1.0,0.0,0.0,0.0,0.5,1.0,1.0,0.25,1.0,0.75,0.14285714285714285,0.9999999999999999,0.9473684210526315
333,0.5,0.5,0.5,0.0,0.3333333333333333,0.0,0.75,0.5,0.5,0.0,0.0,0.25,0.0,0.2857142857142857,0.42105263157894735
104,0.0,0.75,1.0,0.0,0.3333333333333333,0.0,1.0,0.75,0.75,0.0,0.0,0.0,0.0,0.8571428571428571,0.9473684210526315
253,0.16666666666666652,0.5,0.25,0.3333333333333333,0.0,0.0,0.5,0.5,0.25,0.0,0.5,0.5,0.0,0.2857142857142857,0.47368421052631576
182,0.33333333333333304,0.5,1.0,0.0,0.3333333333333333,0.0,1.0,0.75,0.25,0.25,0.5,1.0,0.0,0.8571428571428571,0.894736842105263
73,0.16666666666666652,0.75,0.25,0.0,0.0,0.0,1.0,0.5,0.25,0.25,0.25,1.0,0.03571428571428571,0.5714285714285714,0.631578947368421
350,0.6666666666666665,0.25,0.25,0.6666666666666667,0.3333333333333333,1.0,1.0,0.75,0.75,0.5,0.5,0.25,0.14285714285714285,0.2857142857142857,0.3684210526315789
354,0.33333333333333304,1.0,0.75,0.3333333333333333,0.3333333333333333,0.0,0.75,1.0,1.0,0.0,0.5,0.25,0.07142857142857142,0.6428571428571428,0.5789473684210527
