,age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2
241,0.33333333333333304,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.5,0.5,0.5,0.25,0.5,0.75,0.03571428571428571,0.4285714285714285,0.5789473684210527
235,0.16666666666666652,0.75,0.5,0.3333333333333333,0.6666666666666667,0.0,1.0,0.5,0.5,0.0,0.5,0.25,0.17857142857142855,0.5,0.47368421052631576
369,0.5,1.0,1.0,0.6666666666666667,0.3333333333333333,0.0,0.5,0.25,0.25,0.75,0.25,1.0,0.17857142857142855,0.7142857142857143,0.631578947368421
217,0.5,0.75,0.75,0.0,0.3333333333333333,0.3333333333333333,0.5,0.25,0.75,0.25,0.75,0.75,0.23214285714285712,0.14285714285714285,0.3157894736842105
331,0.33333333333333304,0.5,1.0,0.0,0.6666666666666667,0.0,0.75,0.75,0.5,0.0,0.0,1.0,0.125,0.5714285714285714,0.7368421052631579
358,0.5,0.25,0.25,0.3333333333333333,0.0,0.0,0.5,0.5,0.25,0.0,0.25,0.5,0.07142857142857142,0.4285714285714285,0.5263157894736842
250,0.5,0.75,0.5,0.3333333333333333,0.0,0.3333333333333333,0.75,0.75,1.0,0.25,0.75,1.0,0.0,0.14285714285714285,0.42105263157894735
92,0.16666666666666652,0.75,0.25,0.0,0.3333333333333333,0.0,0.5,0.5,0.5,0.25,0.5,0.25,0.07142857142857142,0.2142857142857143,0.3157894736842105
180,0.16666666666666652,1.0,0.75,0.0,0.3333333333333333,0.0,0.5,0.75,0.5,0.25,0.5,0.5,0.17857142857142855,0.3571428571428571,0.42105263157894735
266,0.33333333333333304,0.75,0.25,0.0,0.3333333333333333,0.0,1.0,0.75,0.75,0.5,0.75,1.0,0.03571428571428571,0.3571428571428571,0.47368421052631576
269,0.5,0.5,0.25,0.3333333333333333,0.3333333333333333,0.0,0.75,0.5,1.0,0.0,0.25,0.5,0.0,0.14285714285714285,0.0
379,0.33333333333333304,0.75,0.25,0.0,0.3333333333333333,0.0,0.75,1.0,0.75,0.25,0.5,0.0,0.30357142857142855,0.4285714285714285,0.5263157894736842
97,0.16666666666666652,0.5,0.25,0.0,0.3333333333333333,0.0,0.75,0.5,1.0,0.0,0.0,1.0,0.03571428571428571,0.2857142857142857,0.47368421052631576
124,0.16666666666666652,0.5,0.5,0.0,0.3333333333333333,0.0,1.0,0.75,0.75,0.0,0.0,1.0,0.0,0.2857142857142857,0.3684210526315789
34,0.16666666666666652,0.75,0.5,0.0,0.0,0.0,1.0,0.75,0.5,0.0,0.0,1.0,0.0,0.5714285714285714,0.7368421052631579
244,0.5,0.5,0.25,0.3333333333333333,0.6666666666666667,0.0,0.75,0.75,0.75,0.0,0.0,0.5,0.0,0.2142857142857143,0.0
83,0.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.0,1.0,0.5,0.5,0.0,0.5,0.75,0.07142857142857142,0.7857142857142857,0.7894736842105263
283,0.5,0.25,0.25,0.3333333333333333,0.3333333333333333,0.0,1.0,0.75,0.75,0.0,0.0,0.75,0.07142857142857142,0.2857142857142857,0.47368421052631576
302,0.33333333333333304,1.0,0.5,0.3333333333333333,0.6666666666666667,0.0,0.75,0.5,0.5,0.0,0.0,0.5,0.0,0.7857142857142857,0.631578947368421
191,0.33333333333333304,0.25,0.25,0.0,0.3333333333333333,0.0,1.0,0.5,0.5,0.0,0.0,0.5,0.0,0.2857142857142857,0.42105263157894735
176,0.16666666666666652,0.5,0.5,0.3333333333333333,0.3333333333333333,0.0,0.5,0.75,0.75,0.0,0.75,1.0,0.03571428571428571,0.6428571428571428,0.6842105263157894
362,0.5,0.75,0.75,0.3333333333333333,0.3333333333333333,0.0,0.75,0.5,0.25,0.0,0.5,0.5,0.0,0.5,0.5789473684210527
100,0.16666666666666652,1.0,1.0,0.0,0.0,0.0,0.75,1.0,1.0,1.0,1.0,0.75,0.25,0.2142857142857143,0.3684210526315789
172,0.33333333333333304,1.0,1.0,0.0,0.3333333333333333,0.0,0.75,0.75,0.75,0.0,0.5,1.0,0.0,0.6428571428571428,0.5789473684210527
49,0.0,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.75,0.75,0.75,0.0,0.0,0.5,0.03571428571428571,0.2142857142857143,0.3684210526315789
133,0.16666666666666652,0.75,1.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.75,1.0,0.2857142857142857,0.5714285714285714,0.5789473684210527
334,0.5,0.5,0.5,0.3333333333333333,1.0,0.0,0.75,0.75,0.75,0.0,0.0,0.75,0.0,0.4285714285714285,0.47368421052631576
43,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.42105263157894735
164,0.33333333333333304,0.25,0.25,1.0,0.3333333333333333,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.0,0.0714285714285714,0.42105263157894735
28,0.16666666666666652,0.75,1.0,0.0,0.3333333333333333,0.0,1.0,0.5,0.5,0.0,0.0,1.0,0.07142857142857142,0.5,0.5789473684210527
3,0.0,1.0,0.5,0.0,0.6666666666666667,0.0,0.5,0.25,0.25,0.0,0.0,1.0,0.03571428571428571,0.7857142857142857,0.7368421052631579
30,0.0,1.0,1.0,0.0,0.3333333333333333,0.0,1.0,0.75,0.25,0.5,0.75,1.0,0.0,0.3571428571428571,0.5789473684210527
366,0.5,1.0,1.0,0.3333333333333333,0.6666666666666667,0.0,0.75,0.25,0.25,0.25,0.25,1.0,0.0,0.6428571428571428,0.6842105263157894
110,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.75,0.10714285714285714,0.9999999999999999,1.0
343,0.33333333333333304,0.5,0.5,0.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.0,0.0,0.25,0.75,0.0,0.3571428571428571,0.42105263157894735
132,0.33333333333333304,0.5,0.5,0.0,0.0,0.0,0.5,0.75,0.75,0.0,0.5,1.0,0.21428571428571427,0.4285714285714285,0.6842105263157894
140,0.0,1.0,0.75,0.3333333333333333,1.0,0.0,0.25,0.25,0.25,0.0,0.0,0.5,0.0,0.2142857142857143,0.47368421052631576
367,0.33333333333333304,0.25,0.25,0.6666666666666667,0.0,0.3333333333333333,1.0,0.25,0.0,0.0,0.25,0.0,0.0,0.2142857142857143,0.3157894736842105
344,0.5,0.5,0.75,0.0,0.6666666666666667,0.0,0.75,0.5,0.5,0.0,0.25,0.5,0.07142857142857142,0.5,0.5263157894736842
47,0.16666666666666652,1.0,0.75,0.0,1.0,0.0,0.75,0.25,0.25,0.0,0.0,0.25,0.07142857142857142,1.0714285714285712,1.0
325,0.5,1.0,1.0,0.0,0.6666666666666667,0.0,0.75,0.5,0.5,0.25,0.25,0.5,0.05357142857142857,0.3571428571428571,0.631578947368421
130,0.0,0.75,1.0,0.3333333333333333,0.6666666666666667,0.6666666666666666,0.75,0.25,0.25,0.25,0.25,1.0,0.0,0.5714285714285714,0.0
93,0.16666666666666652,1.0,0.5,0.3333333333333333,0.3333333333333333,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5263157894736842
394,0.6666666666666665,0.25,0.25,0.0,0.0,0.0,0.5,0.25,0.5,0.5,0.5,1.0,0.08928571428571427,0.2857142857142857,0.47368421052631576
341,0.5,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.75,0.5,0.5,0.25,0.25,0.25,0.0,0.4285714285714285,0.5263157894736842
163,0.33333333333333304,0.25,0.75,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.75,0.25,0.03571428571428571,0.4285714285714285,0.5263157894736842
376,0.833333333333333,1.0,0.5,0.3333333333333333,0.6666666666666667,0.6666666666666666,1.0,0.75,0.5,0.0,0.0,0.5,0.07142857142857142,0.7857142857142857,0.7368421052631579
240,0.33333333333333304,1.0,0.75,0.3333333333333333,0.3333333333333333,0.0,0.25,1.0,1.0,0.0,0.75,1.0,0.25,0.5714285714285714,0.631578947368421
352,0.5,0.25,0.75,0.0,0.0,0.3333333333333333,0.75,0.5,0.5,0.25,0.5,0.5,0.125,0.2857142857142857,0.3684210526315789
136,0.33333333333333304,0.75,1.0,0.6666666666666667,0.3333333333333333,0.0,1.0,0.75,1.0,0.25,0.75,1.0,0.0,0.4285714285714285,0.0
139,0.0,1.0,1.0,0.3333333333333333,0.0,0.0,0.75,0.5,0.25,0.0,0.0,1.0,0.0,0.8571428571428571,0.8421052631578947
225,0.5,0.75,0.25,0.0,0.3333333333333333,0.3333333333333333,1.0,0.5,0.5,0.0,0.0,0.75,0.2857142857142857,0.3571428571428571,0.42105263157894735
390,0.833333333333333,0.5,0.5,0.0,0.3333333333333333,0.6666666666666666,1.0,1.0,0.75,0.75,1.0,0.75,0.19642857142857142,0.3571428571428571,0.47368421052631576
214,0.33333333333333304,1.0,1.0,0.0,0.0,0.0,1.0,0.25,0.0,0.0,0.25,0.5,0.21428571428571427,0.2857142857142857,0.5263157894736842
381,0.5,0.5,0.25,0.3333333333333333,0.0,0.0,0.75,0.75,0.5,0.0,0.5,1.0,0.08928571428571427,0.2142857142857143,0.3157894736842105
174,0.16666666666666652,0.75,0.75,0.3333333333333333,0.3333333333333333,0.0,0.75,0.75,1.0,0.0,0.0,0.75,0.07142857142857142,0.4285714285714285,0.5789473684210527
116,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.75,0.75,0.5,0.0,0.0,0.25,0.03571428571428571,0.5,0.6842105263157894
247,1.1666666666666665,0.75,0.25,0.0,0.0,1.0,1.0,0.75,1.0,1.0,1.0,0.0,0.2857142857142857,0.14285714285714285,0.42105263157894735
152,0.0,0.75,0.75,0.3333333333333333,0.6666666666666667,0.6666666666666666,0.75,0.25,0.0,0.25,0.5,0.5,0.14285714285714285,0.4285714285714285,0.5263157894736842
123,0.16666666666666652,1.0,1.0,0.0,0.0,0.0,0.5,0.75,0.75,0.0,0.75,1.0,0.3214285714285714,0.7142857142857143,0.5789473684210527
272,0.5,0.25,0.25,0.3333333333333333,0.3333333333333333,0.0,0.75,0.75,0.5,0.0,0.0,0.5,0.03571428571428571,0.5,0.5789473684210527
144,0.33333333333333304,0.5,0.25,0.0,0.0,1.0,1.0,0.75,1.0,0.0,0.25,1.0,0.0,0.0714285714285714,0.0
242,0.16666666666666652,1.0,0.75,0.0,0.0,0.0,1.0,0.75,1.0,0.0,0.0,0.5,0.0,0.14285714285714285,0.0
141,0.16666666666666652,0.5,0.5,0.3333333333333333,0.0,0.6666666666666666,0.25,0.5,0.5,0.25,0.25,0.25,0.14285714285714285,0.3571428571428571,0.47368421052631576
304,0.6666666666666665,0.75,0.75,0.0,0.3333333333333333,0.3333333333333333,0.75,0.75,0.75,0.0,0.0,0.5,0.3571428571428571,0.7857142857142857,0.7368421052631579
177,0.33333333333333304,0.75,0.75,0.0,0.3333333333333333,0.0,0.75,0.5,0.75,0.0,0.75,0.75,0.07142857142857142,0.14285714285714285,0.2631578947368421
12,0.0,1.0,1.0,0.0,0.0,0.0,0.75,0.5,0.5,0.0,0.5,1.0,0.03571428571428571,0.7142857142857143,0.7368421052631579
314,0.6666666666666665,0.25,0.25,0.0,0.6666666666666667,0.6666666666666666,0.75,0.0,0.25,0.0,0.0,0.5,0.25,0.7857142857142857,0.6842105263157894
197,0.16666666666666652,0.75,0.75,0.6666666666666667,0.0,0.0,0.5,0.5,0.75,0.5,1.0,0.5,0.14285714285714285,0.3571428571428571,0.47368421052631576
94,0.0,0.5,0.5,0.0,1.0,0.0,0.75,0.5,0.75,0.0,0.0,0.75,0.10714285714285714,0.5,0.6842105263157894
222,0.16666666666666652,0.5,0.75,0.0,0.3333333333333333,0.0,0.25,0.5,0.0,0.0,0.0,0.5,0.03571428571428571,0.8571428571428571,0.8421052631578947
251,0.16666666666666652,0.75,0.75,0.6666666666666667,0.3333333333333333,0.0,1.0,0.5,0.5,0.0,0.5,0.25,0.10714285714285714,0.2142857142857143,0.5263157894736842
39,0.0,0.5,0.5,0.0,0.0,0.0,0.75,0.5,0.0,0.0,0.0,0.25,0.14285714285714285,0.7142857142857143,0.6842105263157894
227,0.33333333333333304,0.5,0.75,0.0,0.3333333333333333,0.0,1.0,0.5,0.5,0.0,0.5,0.5,0.03571428571428571,0.5714285714285714,0.5789473684210527
292,0.5,0.5,0.25,0.0,0.3333333333333333,0.3333333333333333,1.0,0.75,0.5,0.0,0.0,1.0,0.21428571428571427,0.5714285714285714,0.631578947368421
294,0.5,0.75,0.5,0.3333333333333333,0.6666666666666667,0.0,1.0,0.75,0.25,0.0,0.0,0.75,0.14285714285714285,0.7142857142857143,0.6842105263157894
126,0.0,0.75,1.0,0.0,0.3333333333333333,0.0,1.0,0.5,0.25,0.0,0.0,0.0,0.0,0.2142857142857143,0.5263157894736842
349,0.5,0.75,0.5,0.3333333333333333,0.0,0.3333333333333333,0.25,1.0,1.0,1.0,1.0,1.0,0.17857142857142855,0.5,0.6842105263157894
216,0.33333333333333304,1.0,0.75,0.0,0.3333333333333333,0.6666666666666666,0.5,0.75,1.0,0.25,0.75,0.0,0.39285714285714285,0.14285714285714285,0.3157894736842105
68,0.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.0,0.75,0.0,0.5,0.0,0.5,0.75,0.03571428571428571,0.2857142857142857,0.47368421052631576
353,0.6666666666666665,0.25,0.25,0.6666666666666667,0.0,0.3333333333333333,0.75,0.75,0.75,0.5,0.5,1.0,0.07142857142857142,0.2857142857142857,0.42105263157894735
155,0.0,0.5,0.75,0.0,0.3333333333333333,0.0,0.75,0.75,0.75,0.0,0.0,0.0,0.03571428571428571,0.5,0.42105263157894735
276,0.5,0.75,0.5,0.3333333333333333,0.3333333333333333,0.0,0.75,0.0,0.0,0.0,0.0,1.0,1.3392857142857142,0.4285714285714285,0.47368421052631576
368,0.5,0.5,0.75,0.3333333333333333,0.0,0.0,1.0,0.25,0.5,0.0,0.25,0.75,0.0,0.5,0.5263157894736842
254,0.33333333333333304,0.5,0.25,0.0,0.0,0.0,0.75,0.75,0.25,0.25,0.75,1.0,0.0,0.2857142857142857,0.631578947368421
384,0.5,1.0,0.5,0.3333333333333333,0.0,0.3333333333333333,1.0,0.75,0.5,0.75,0.5,0.5,0.25,0.14285714285714285,0.2631578947368421
156,0.33333333333333304,0.25,0.5,0.0,0.0,0.0,0.25,0.25,0.25,0.5,0.5,1.0,0.14285714285714285,0.8571428571428571,0.631578947368421
51,0.0,1.0,0.5,0.0,0.3333333333333333,0.0,0.75,0.5,0.5,0.0,0.0,1.0,0.03571428571428571,0.5,0.6842105263157894
282,0.5,0.25,0.25,0.3333333333333333,1.0,0.0,1.0,0.25,0.25,0.0,0.0,0.5,0.017857142857142856,0.5714285714285714,0.631578947368421
318,0.33333333333333304,0.75,1.0,0.0,0.6666666666666667,0.0,0.75,0.5,0.75,0.25,1.0,1.0,0.0,0.5,0.5789473684210527
98,0.16666666666666652,1.0,1.0,0.0,0.0,0.0,1.0,0.5,0.75,0.0,0.25,0.0,0.10714285714285714,0.5,0.7368421052631579
65,0.16666666666666652,1.0,0.75,0.6666666666666667,0.3333333333333333,0.0,1.0,0.75,0.5,0.0,0.25,0.0,0.03571428571428571,0.8571428571428571,0.7894736842105263
281,0.33333333333333304,0.75,0.5,0.0,0.0,0.3333333333333333,0.75,0.75,0.75,0.5,0.75,0.5,0.33928571428571425,0.5,0.47368421052631576
378,0.5,0.75,0.75,0.0,0.3333333333333333,0.0,0.75,0.0,0.5,0.0,0.25,0.0,0.0,0.7857142857142857,0.7894736842105263
44,0.16666666666666652,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.75,0.5,0.5,0.25,0.25,1.0,0.25,0.4285714285714285,0.5263157894736842
