,G3
142,11
326,16
88,10
118,8
312,11
249,15
129,18
333,0
104,18
253,8
182,17
73,14
350,8
354,11
238,11
206,7
316,0
201,10
224,14
278,8
187,15
151,14
67,6
63,9
169,14
270,9
306,18
231,11
297,8
134,0
323,15
35,6
351,13
125,12
60,11
195,15
361,12
391,16
21,15
66,12
153,0
58,9
85,8
273,14
4,10
289,15
184,12
1,6
356,13
127,9
87,14
185,11
233,13
149,10
205,9
383,0
335,15
137,0
324,15
89,7
290,11
183,8
239,0
113,19
146,0
340,11
193,10
135,0
194,14
7,6
364,12
295,11
40,11
322,11
25,8
287,12
363,15
271,14
45,6
0,6
303,18
17,10
106,8
392,7
259,0
109,16
77,11
112,13
162,0
117,13
53,11
8,19
84,10
56,15
23,12
209,7
393,10
90,8
202,10
131,0
360,13
260,18
99,8
372,11
29,11
154,12
265,17
357,11
321,9
313,11
305,12
213,8
339,10
64,10
138,12
62,9
288,14
50,13
78,10
328,9
5,15
22,16
121,15
355,9
81,11
234,6
315,11
267,11
337,0
208,10
386,6
262,12
37,15
311,13
380,14
232,9
257,11
298,14
165,12
296,0
286,19
317,9
308,12
220,6
256,13
382,10
160,0
388,8
338,17
291,15
27,15
18,5
186,11
387,0
70,15
365,10
158,15
115,16
16,14
301,10
310,0
330,8
319,11
128,0
103,6
71,10
6,11
178,9
55,10
389,0
279,10
19,10
161,7
268,10
370,9
168,0
111,10
122,13
157,10
2,10
203,6
32,16
76,10
263,9
119,13
348,15
347,9
230,14
219,10
80,12
327,10
46,11
215,15
167,16
69,16
101,17
96,15
108,13
105,11
226,15
377,10
359,16
57,15
255,8
145,11
198,18
336,13
143,13
218,8
210,8
277,9
342,15
14,16
86,6
74,11
10,9
229,12
61,11
38,11
243,12
166,10
