,G3
241,12
235,10
369,11
217,8
331,14
358,10
250,8
92,6
180,8
266,10
269,0
379,10
97,10
124,8
34,15
244,0
83,15
283,10
302,14
191,9
176,11
362,10
100,5
172,10
49,7
133,11
334,0
43,11
164,7
28,11
3,15
30,12
366,13
110,19
343,0
132,12
140,0
367,0
344,10
47,20
325,11
130,0
93,10
394,9
341,0
163,10
376,15
240,12
352,8
136,0
139,15
225,7
390,9
214,10
381,7
174,9
116,14
247,8
152,10
123,13
272,11
144,0
242,0
141,9
304,13
177,6
12,14
314,13
197,10
94,14
222,17
251,10
39,13
227,12
292,13
294,14
126,11
349,13
216,4
68,8
353,8
155,8
276,9
368,10
254,12
384,5
156,13
51,13
282,12
318,10
98,14
65,15
281,10
378,15
44,9
